temperature,humidity,soil_moisture,final_label
5.3302,24.7276,57.8050,3
4.9234,24.6490,62.6044,3
4.8211,24.4035,62.9606,3
4.9990,24.1615,68.5898,3
5.2815,24.2377,68.7430,3
4.5900,24.1959,73.2626,3
4.7562,23.9471,73.5172,3
5.1832,23.8126,78.9627,3
4.9032,24.1122,79.4487,3
5.1076,24.6117,84.1333,3
4.8608,24.1434,84.3318,3
5.0353,23.8852,89.5189,3
5.0456,24.9658,90.4121,3
4.8294,24.1243,94.0051,3
4.8819,24.3052,95.3398,3
4.8542,24.0143,98.9264,3
4.9675,23.8918,99.7353,3
4.8246,28.3928,0.0000,3
4.7066,29.0598,0.0000,3
4.7806,28.9721,6.7157,3
4.7657,28.3106,5.4339,3
5.3457,28.1250,10.4037,3
5.1555,28.5515,10.3382,3
4.9732,28.0086,15.6704,3
4.9467,28.4907,15.5118,3
5.0943,28.7249,21.1303,3
5.0704,28.4370,21.0527,3
4.8557,28.5160,26.2671,2
5.4186,28.8931,26.5087,2
4.8474,28.0873,32.1745,2
5.0525,28.5651,30.7067,2
5.1855,28.5574,36.2869,2
4.9057,28.5002,36.8683,2
4.9416,28.3900,41.9793,2
5.0305,28.8625,40.8219,2
4.9526,28.4740,47.5164,3
4.9256,27.8940,47.5324,3
5.3455,27.9609,53.0635,3
4.9343,28.4027,52.1051,3
4.9331,28.8111,58.1861,3
5.3465,28.7743,58.1143,3
5.3488,28.5527,63.5719,3
4.9407,28.4410,62.8092,3
5.1979,28.0676,68.8122,3
4.9619,28.7724,68.7965,3
5.3641,28.6403,72.8982,3
4.9866,28.0695,73.4251,3
5.3022,28.6123,78.5979,3
4.7973,28.4309,78.3391,3
4.8658,28.5147,84.7882,3
5.1218,27.7337,84.3627,3
5.0144,28.5452,90.2818,3
4.5874,28.2437,89.7691,3
4.6837,28.8638,94.9210,3
5.1693,28.2498,95.1437,3
5.2137,28.4909,100.0000,3
5.0541,28.1620,99.9262,3
4.9695,32.7466,0.4999,3
4.7883,32.5941,0.7407,3
4.8513,32.3849,5.3643,3
5.1689,32.6350,5.9276,3
5.1714,32.8841,10.8034,3
5.4655,32.5700,9.5246,3
5.3209,32.4943,15.8434,3
5.2619,32.1509,15.1637,3
4.6797,32.3933,21.2724,3
5.1048,32.7145,20.3462,3
4.5380,32.6479,26.0799,2
5.0919,32.8422,26.3849,2
5.1520,32.7003,31.8440,2
4.8591,32.5777,31.6773,2
5.1641,32.5135,37.1027,2
4.9468,32.5963,37.2569,2
4.6014,32.2426,41.3642,2
4.5333,32.4281,42.4800,2
4.9430,32.6909,47.9130,3
5.2655,32.6108,48.0452,3
5.0184,32.3804,52.3344,3
4.7039,32.3651,52.4526,3
5.1607,33.1478,57.2036,3
5.0786,32.3194,58.1321,3
4.9738,32.0823,63.6220,3
4.8790,32.4714,62.6230,3
4.8691,32.7599,68.3264,3
5.0657,32.7402,69.0814,3
4.9314,32.1885,74.2178,3
4.9337,32.9660,73.8759,3
4.9738,32.7362,79.9229,3
5.4154,32.6524,79.0275,3
5.2152,32.3779,84.3771,3
4.9948,32.7257,83.7938,3
4.6821,32.0097,88.9150,3
4.9083,32.5436,90.4423,3
5.2212,32.3430,94.9107,3
4.9186,32.5463,94.8295,3
5.1238,32.5298,100.0000,3
4.7716,32.6335,100.0000,3
5.0446,37.2721,0.0458,3
5.1162,36.8251,0.0000,3
4.8441,36.9712,4.8374,3
5.1331,37.1677,5.4464,3
4.9428,36.9783,10.3720,3
5.1871,36.2927,10.3585,3
4.6018,36.3936,16.4714,3
5.1790,36.6263,15.0382,3
4.4071,36.6791,22.2628,3
5.0870,36.6742,21.2852,3
4.6878,36.7529,26.3655,2
4.9828,37.0793,26.4881,2
5.1337,36.6356,32.0279,2
5.3258,36.5511,31.1351,2
5.2672,36.7847,37.5440,2
4.9115,37.2786,36.9078,2
5.0516,37.3115,41.9244,2
4.8118,36.7075,42.3314,2
4.6868,37.0333,47.0990,3
5.2296,36.1238,46.9751,3
4.6627,36.5942,52.7554,3
4.9642,36.7661,52.5520,3
5.0407,36.5395,58.2482,3
5.1325,36.9576,58.1730,3
5.0593,37.4526,63.1143,3
4.9386,36.6160,62.6418,3
4.7511,36.5755,68.3857,3
5.0669,36.8574,68.0383,3
5.1800,37.0639,73.6044,3
4.8694,37.0066,73.7782,3
4.7104,36.8217,79.0784,3
4.8201,36.8991,78.2200,3
5.2672,37.2165,84.0843,3
5.0727,36.1191,83.6324,3
4.9412,36.5205,89.8309,3
5.3995,36.4891,89.0550,3
5.0471,37.3254,94.1257,3
5.0498,37.3885,93.9110,3
4.7438,36.7150,99.7397,3
5.1625,36.9146,99.1125,3
5.1031,40.8794,0.6372,3
4.8745,40.8616,0.2706,3
5.1526,41.1871,4.4204,3
5.1076,40.7423,5.3808,3
4.7153,41.1865,10.1230,3
4.7435,41.2668,10.6471,3
4.8772,41.4880,15.5691,3
5.0064,41.1333,15.4796,3
5.0942,40.8926,20.8468,3
5.2725,40.7405,19.8462,3
5.3222,41.8174,26.1132,2
4.6126,40.9595,26.1727,2
4.9620,40.7186,31.8687,2
5.1049,40.6043,31.9285,2
5.4105,41.1042,36.6734,2
4.9716,41.2372,35.9768,2
5.0329,40.9355,43.0292,2
4.9652,41.5530,41.5534,2
5.1175,41.1485,46.9339,3
5.0355,41.4164,47.2065,3
4.6616,41.0474,52.1804,3
4.9315,41.0282,51.7788,3
4.6769,41.1973,57.6334,3
4.4871,41.2881,58.0309,3
4.8572,40.6576,63.5758,3
5.0699,41.7674,63.3680,3
5.0775,41.0026,68.8294,3
5.1250,41.4282,68.1604,3
4.9129,40.9089,74.0796,3
5.2997,40.9150,73.4718,3
5.0628,40.9789,79.4234,3
4.5496,40.8046,78.5562,3
4.5359,40.7635,83.7529,3
4.9598,41.3865,84.0880,3
4.7938,41.0355,89.9983,3
4.8048,40.7795,89.7530,3
4.9557,41.2469,94.7300,3
5.1403,40.7421,94.7308,3
4.9579,40.6879,99.2183,3
5.1371,40.9473,99.4889,3
4.9808,45.6016,0.0000,3
4.7007,44.9863,0.7306,3
5.0565,45.4934,4.6931,3
4.7761,45.3975,5.2923,3
5.1097,45.2069,10.6654,3
5.0316,45.4965,10.9298,3
4.6760,44.5890,16.2903,3
5.2375,44.9570,14.8596,3
5.0198,45.5424,21.9514,2
5.1033,45.1516,20.6061,3
5.0023,45.1734,25.8083,2
5.4098,45.7987,26.8838,2
4.8158,45.5197,31.8988,2
5.0885,45.6381,31.8966,2
5.1480,45.4542,37.0125,2
4.6433,45.2882,36.5640,2
4.7440,45.7677,42.9698,2
5.2718,45.3397,42.7806,2
5.0024,45.3240,46.8217,2
5.0794,45.2813,46.7171,2
4.9898,45.2392,53.5304,3
5.1788,45.2666,52.7560,3
5.0088,45.2023,57.3535,3
4.9698,45.0393,57.2696,3
5.1022,45.3805,62.2645,3
4.9755,45.5619,63.6875,3
5.2052,45.2748,67.9985,3
4.7833,45.3665,68.6107,3
5.2575,45.5932,73.6181,3
4.7512,45.1674,73.7928,3
4.9596,45.0898,79.0738,3
4.8992,45.0747,79.1031,3
4.9196,45.3364,84.3471,3
4.7721,45.1188,84.9294,3
4.7676,44.6282,88.5428,3
5.0058,45.2724,89.4149,3
5.2428,44.4613,94.9348,3
5.3123,44.9248,94.5469,3
4.8494,44.9949,99.8369,3
5.2855,45.8144,99.8320,3
5.3810,49.4844,0.8768,3
4.9813,49.5130,0.1827,3
5.6358,49.7291,4.9095,3
5.1938,49.3651,5.0183,3
5.1817,49.4830,10.6656,3
5.0028,49.5747,10.7388,3
4.6126,49.6737,15.2985,3
4.7115,49.4562,15.8315,3
4.8613,49.7230,20.3815,2
4.9186,49.2982,21.0293,2
5.0558,49.1713,26.6779,2
5.0126,48.9061,25.3365,2
4.9975,49.4074,31.5272,2
4.9944,49.5414,32.0528,2
4.7778,49.1221,36.2954,2
5.0578,49.8472,36.6264,2
4.4997,48.9625,41.6887,2
4.8885,49.3512,42.1246,2
4.9377,49.7885,47.0304,2
4.8275,49.6173,46.6006,2
5.0779,49.5045,52.5579,3
5.3177,49.2870,53.6617,3
4.9549,49.0906,57.9297,3
4.7848,49.2482,58.0933,3
5.1111,49.2870,63.6516,3
5.2315,49.9046,63.4226,3
5.2727,48.9094,68.2621,3
4.8266,49.5095,68.1353,3
4.9668,50.0383,73.5993,3
5.0828,49.4040,73.7221,3
5.0012,49.6082,79.5300,3
5.3295,49.5666,79.2421,3
4.7698,49.4473,84.6807,3
5.1732,49.5372,84.6537,3
5.0982,49.8338,89.6184,3
4.9289,49.5744,88.0084,3
5.0766,48.3792,93.8751,3
5.0904,49.6169,94.1556,3
4.8576,49.8848,99.7580,3
5.4486,49.4731,100.0000,3
5.3234,53.7235,0.0000,3
4.9781,53.6735,0.0000,3
4.9488,53.4616,5.7253,3
5.0069,53.5994,5.2101,3
5.0446,53.8693,10.0265,3
4.7917,54.0156,10.3201,3
4.7166,53.8174,16.0212,3
4.6939,53.7531,16.1573,3
5.0749,53.8738,20.3505,2
5.0662,53.5934,20.8112,2
5.1741,54.1280,27.2130,2
5.2630,53.6513,26.4921,2
5.1534,53.7206,31.6443,2
5.1648,53.6664,31.2143,2
4.9171,53.8744,36.8436,2
5.0680,53.8852,36.6547,2
5.1512,53.7979,41.4879,2
5.2885,53.5340,41.2777,2
4.7910,53.3779,47.3945,2
4.9452,53.5832,47.6783,2
5.0680,53.7790,52.8365,3
5.1232,53.0518,52.4494,3
4.5640,53.6950,57.8924,3
5.2091,54.0405,57.9961,3
4.8999,53.8298,62.8939,3
4.9997,53.9801,62.8790,3
5.1611,53.8874,67.9437,3
5.1948,53.8938,68.4720,3
4.8475,53.4264,73.4154,3
5.1085,53.3975,73.9030,3
4.7516,53.6230,79.0022,3
5.4890,53.2710,79.6834,3
5.0300,53.8076,84.2697,3
5.0889,53.6381,84.9376,3
4.9087,54.0239,89.1515,3
4.9879,53.3626,89.7012,3
5.2890,53.6610,94.6384,3
4.7771,53.6154,93.9404,3
4.8174,53.7522,100.0000,3
5.5618,53.5082,100.0000,3
5.0488,57.8494,0.2163,3
5.0124,57.9279,0.0000,3
4.7204,57.4316,5.5898,3
4.9447,57.7159,5.2674,3
5.1590,57.9488,10.1983,3
5.2453,58.3685,10.7736,3
5.1947,58.2673,16.3545,2
5.1228,58.0742,16.0493,2
4.7805,58.1050,20.3747,2
4.8411,58.2858,21.4727,2
5.2975,57.8132,25.7397,2
4.9519,57.9253,26.3553,2
5.2267,57.7864,31.7550,1
4.8023,58.0298,31.5805,1
4.8500,57.8240,36.7500,1
4.9460,58.4261,36.7929,1
4.9512,57.2655,41.6582,2
4.9474,57.6890,42.7961,2
4.9670,58.2813,47.3993,2
5.0074,57.8681,47.3703,2
5.3438,57.1989,51.6308,2
4.8914,57.8991,52.9766,2
5.0946,57.7795,58.4043,3
5.2060,57.9500,58.3761,3
5.0545,57.7263,63.5068,3
5.0221,57.8951,63.8944,3
4.5098,57.4694,67.8275,3
4.9273,57.8184,67.6674,3
4.8030,57.6365,74.9129,3
5.3603,57.7712,73.5024,3
4.7702,57.3223,78.8889,3
4.8004,57.8693,78.1473,3
4.8476,57.9393,84.3936,3
5.0835,57.4986,84.6379,3
4.8400,58.0846,89.4684,3
4.7247,57.7999,89.6564,3
5.1226,57.8524,95.5027,3
5.2015,57.8177,95.1119,3
5.3868,58.4829,99.3860,3
4.8147,58.3402,99.4709,3
4.7355,61.9594,0.2101,3
4.9795,61.9101,0.0000,3
4.8575,61.8414,6.4040,3
5.0595,62.3713,5.0186,3
4.9628,61.8912,9.2005,3
4.7244,61.5621,9.4014,3
4.7609,62.5028,15.7673,2
5.2581,62.2286,16.1808,2
4.8198,62.2624,21.4170,2
4.8847,62.2731,21.3357,2
4.8901,61.7684,25.7237,2
5.0173,62.2034,25.9195,2
5.0053,62.2764,31.8880,1
5.3104,62.4884,31.0783,1
5.3367,61.9460,37.3645,1
5.0136,61.9816,35.9383,1
4.9657,61.6374,42.5889,2
5.3034,61.8662,42.2562,2
4.8549,61.9167,47.7557,2
4.9923,62.6272,47.1273,2
5.1999,62.1345,53.0295,2
4.9106,62.0904,52.5738,2
4.8328,62.3039,58.2199,3
5.1187,62.5664,58.6194,3
4.9250,62.2172,62.8461,3
5.0047,61.9253,63.9679,3
5.0727,62.0399,69.0179,3
4.5659,61.5010,68.8190,3
5.0121,62.1804,73.0210,3
4.9954,62.7063,74.0963,3
5.0339,61.9735,78.7501,3
4.5742,62.1826,79.3701,3
4.6849,61.9068,83.6318,3
4.8069,62.1213,83.1683,3
5.1229,62.3314,89.3481,3
4.5039,61.8063,90.0901,3
4.4444,62.0010,94.1468,3
5.1609,61.9027,94.9388,3
5.1131,62.6561,99.8985,3
5.0752,61.6597,100.0000,3
4.8479,66.1476,0.0000,3
4.6874,66.3844,0.4837,3
5.0586,65.8391,5.2013,3
5.1484,65.7524,4.7258,3
5.1753,66.3968,10.7323,2
5.3719,66.4564,10.8553,2
5.5421,66.2516,15.3905,2
5.0856,66.4475,15.5261,2
4.7935,67.0087,21.2161,2
4.8535,66.5906,20.9981,2
4.9494,66.4845,25.6698,2
5.0705,66.8897,26.5489,2
4.9248,66.1637,31.3738,1
4.9492,66.2024,32.0371,1
4.6534,66.5744,36.6523,1
5.0754,65.9777,37.5064,1
5.2491,66.6037,41.3479,2
5.1658,66.4372,41.3026,2
4.9951,66.4251,47.6465,2
5.0355,66.4032,48.1052,2
5.2452,65.4557,52.4729,2
4.9671,65.7902,52.6787,2
5.2498,65.9898,58.0629,3
4.8168,66.1142,58.6334,3
4.8915,66.4545,62.2223,3
5.3725,66.4966,63.0666,3
5.1151,65.8928,69.0123,3
4.9352,66.2546,68.1752,3
4.8839,66.5242,73.8122,3
5.1303,66.3131,73.9408,3
4.9162,66.9847,78.1634,3
5.2522,66.7262,78.5213,3
5.4459,66.6144,84.6961,3
5.0056,66.2506,84.1058,3
5.0781,66.7361,89.5643,3
4.8177,66.5631,89.9343,3
5.1309,66.5394,94.6014,3
4.8142,66.0553,93.9191,3
5.0474,66.2908,99.7800,3
4.4089,65.9416,100.0000,3
4.8671,70.6345,0.0000,3
5.2877,70.4831,0.1450,3
5.4652,70.9812,5.1099,3
4.8814,70.4286,5.5181,3
4.9790,70.4077,11.2599,2
4.9772,71.2162,10.5717,3
5.3571,70.6335,16.2710,2
4.8551,70.2702,16.0193,2
5.1977,70.5384,20.4094,2
4.7279,70.0982,20.1688,2
5.0219,70.8638,26.3091,2
4.5479,70.4691,26.2344,2
5.4192,70.0892,31.3836,1
5.3412,70.6613,31.8606,1
5.0229,70.6253,37.2309,1
4.8381,70.7897,36.1556,1
5.0657,70.5799,41.7971,2
4.9955,70.3396,41.5694,2
4.9293,70.1951,47.5298,2
4.7700,70.7399,46.7777,2
4.8867,70.3389,53.2942,2
5.0661,70.4628,52.8809,2
4.5786,70.5134,58.8935,3
5.0265,70.5467,58.1688,3
5.1791,69.9271,62.3167,3
5.0421,70.3119,63.8139,3
4.9370,69.9460,67.7870,3
4.4501,70.4561,68.3269,3
4.9151,70.8500,74.2835,3
4.9659,69.8859,73.9929,3
5.1111,70.6191,79.4381,3
4.7670,71.1289,78.4677,3
5.1498,70.0201,83.7454,3
5.3033,70.4480,84.6305,3
5.0474,70.4948,90.1556,3
4.9527,69.9921,89.0721,3
5.1102,70.6450,93.9533,3
4.8551,70.3518,94.5541,3
4.7248,70.3378,99.6357,3
5.1543,70.7691,99.9271,3
4.9216,74.7788,0.0000,3
4.7706,74.4548,0.0000,3
4.7673,74.7855,5.6280,3
4.6826,74.7444,5.1532,3
5.0683,74.7330,9.7995,3
4.7475,74.7457,11.0407,3
4.5572,74.8406,16.3843,2
4.9694,74.9019,15.4379,2
4.9761,74.2506,19.8805,2
5.1886,74.4413,20.8249,2
4.7227,74.3139,26.2289,2
4.8541,74.8502,26.5421,2
5.0642,74.8084,32.3678,2
4.7865,74.7204,32.1453,2
5.2529,74.3103,36.6859,2
5.2716,74.8893,36.9397,2
4.9565,74.6217,42.2494,2
4.9495,74.7241,42.1446,2
4.8644,74.8965,48.8255,2
4.6446,74.8340,46.9883,2
5.1155,74.7508,53.0125,3
5.2351,74.7946,53.1976,3
4.5311,75.2140,58.0823,3
5.2156,74.3709,57.4794,3
5.0292,74.7317,63.2994,3
5.2169,74.2073,63.6448,3
5.0017,74.6757,67.6855,3
5.1006,74.0126,68.7452,3
4.7016,74.7529,73.6246,3
5.2339,74.6832,73.3371,3
4.8987,75.1187,79.2155,3
4.9229,74.6659,78.1638,3
5.0777,74.2089,84.5864,3
5.0257,75.4529,83.6605,3
4.9795,75.2763,90.0694,3
4.8608,74.8040,89.4747,3
5.0564,74.5272,94.6922,3
4.6804,74.7774,94.9619,3
4.9545,74.2523,100.0000,3
5.0729,74.5190,99.8597,3
4.6999,78.6397,0.0000,3
5.2457,78.7555,0.3201,3
4.8923,79.0218,5.1925,3
5.1746,78.7869,4.4769,3
4.7236,78.7878,9.9018,3
5.0820,78.8076,11.7136,3
4.6525,79.0085,15.2255,3
4.9013,78.9898,14.6268,3
5.0474,79.5182,20.8259,2
5.0520,79.2548,20.9707,2
4.8838,78.2646,26.6363,2
4.9774,78.6436,26.3791,2
4.8833,78.7888,31.8821,2
4.7323,79.2616,30.8801,2
4.8675,79.5243,37.4058,2
5.0195,78.6652,36.5775,2
5.0147,78.9586,42.0598,2
4.9938,78.8831,41.3843,2
4.8967,79.2218,46.6843,2
4.9621,78.7014,47.4241,2
4.9223,79.3906,52.8849,3
4.7376,79.1487,52.2443,3
4.8846,79.0415,57.6489,3
5.1786,78.7150,57.5853,3
4.8687,78.7777,63.7075,3
5.1258,79.4604,64.2917,3
4.7939,78.9685,67.8330,3
4.8445,78.7583,67.8925,3
4.7896,78.9041,73.0759,3
5.1684,78.6720,75.0890,3
4.9097,78.9690,78.2997,3
5.3412,79.2832,79.0958,3
4.7306,79.0106,83.6498,3
5.2925,79.1901,84.2582,3
4.5127,78.6523,89.8176,3
5.2426,79.2801,88.6777,3
5.0603,79.2520,93.9077,3
4.9984,79.0295,94.5865,3
4.6296,78.8497,99.8363,3
4.9704,78.7783,99.7785,3
4.9921,83.2906,0.0000,3
4.9181,83.1856,0.0000,3
5.0954,83.1577,5.2830,3
5.1921,82.5721,4.2762,3
5.0548,83.1558,10.6114,3
4.9076,83.3572,10.9926,3
5.0968,83.0796,14.7356,3
5.1538,83.5244,16.1118,3
4.8241,83.3600,21.4829,3
5.3118,82.8951,20.9394,2
5.1495,83.1751,25.7571,2
5.0829,83.3315,26.3598,2
5.0439,83.0803,32.3181,2
4.8199,82.9817,31.5844,2
5.1758,82.7087,36.1870,2
4.5925,83.1677,36.2830,2
4.9231,83.3563,41.7845,2
5.0463,83.0681,42.4413,2
5.0950,82.9503,47.2841,2
5.2087,83.2759,46.6699,2
5.1311,82.8325,53.3378,3
5.2048,83.2449,52.7102,3
4.9582,83.3615,57.7093,3
5.0471,83.4195,57.6138,3
4.8768,82.7996,62.6257,3
4.6343,83.3768,64.0624,3
5.2851,82.6701,68.7835,3
5.2844,83.0209,68.4718,3
4.5984,83.2379,73.1524,3
5.0399,82.6895,73.9556,3
5.2049,82.9229,78.3789,3
4.5688,83.0780,78.6566,3
4.6898,83.2938,83.9855,3
4.7849,82.9915,84.7462,3
5.1206,83.1189,89.7832,3
4.7678,83.1676,89.5473,3
4.9060,83.2885,94.3466,3
5.1020,83.3235,93.2783,3
5.2381,82.2436,99.6920,3
5.2051,83.0627,99.2669,3
4.7813,87.6765,0.0000,3
5.2258,87.3519,0.0000,3
4.8834,87.0633,5.6963,3
5.1465,86.8527,5.0614,3
4.8274,87.7565,9.8513,3
5.3208,87.3584,9.9453,3
4.8645,87.1279,15.1522,3
5.0190,87.0000,14.6993,3
4.9241,86.8276,20.6766,3
4.8182,87.1071,22.0531,3
5.0113,87.4420,25.4276,2
4.8692,87.4330,25.8035,2
5.1816,87.0076,31.4358,2
4.8828,87.4177,31.2587,2
4.9458,87.2976,36.4749,2
5.0970,87.4399,36.7978,2
4.9139,87.6074,41.9873,2
4.9387,87.3998,42.9536,2
4.7319,87.5994,46.4218,3
5.0435,87.8409,47.6128,3
5.0341,87.2003,52.6471,3
4.9496,87.1326,52.4866,3
5.0397,87.1383,57.4916,3
4.7280,87.4856,58.1674,3
5.0463,87.6580,63.2018,3
5.0784,87.4596,63.1121,3
4.8938,88.0327,68.1951,3
4.8668,87.4986,68.5470,3
4.7190,87.7052,73.6371,3
4.7778,87.7251,73.9970,3
4.7471,87.9016,79.2768,3
4.9980,87.8455,79.0270,3
4.9944,87.1703,84.5014,3
5.0953,87.3728,83.8155,3
5.0260,87.3475,88.8069,3
4.7056,87.5380,88.1727,3
5.0411,87.2250,95.3910,3
4.9013,87.5663,94.5384,3
5.0227,87.5895,99.7687,3
5.1993,87.0703,100.0000,3
5.1845,91.7770,0.9582,3
4.8473,91.1652,0.0000,3
5.1321,91.7283,5.3143,3
4.7754,91.8090,4.6508,3
5.2318,92.4362,10.7095,3
5.1166,91.4311,9.6212,3
4.8795,91.2511,15.0660,3
5.3445,91.6608,15.9793,3
4.9382,91.5271,21.5349,3
4.9935,91.7382,20.9546,3
4.9316,91.1569,25.3269,2
4.9477,91.5959,25.6727,2
4.9931,91.5951,30.5009,2
4.8170,91.7011,31.7725,2
4.7693,91.6265,37.3533,2
5.1554,91.5504,36.6081,2
4.8741,91.7193,42.2028,2
5.1259,91.6185,42.5146,2
5.0189,91.8144,47.8038,3
4.8391,91.0365,48.1402,3
5.0513,91.0646,52.2747,3
5.1544,91.4950,52.3755,3
5.2802,91.2648,57.4957,3
5.0423,91.6961,58.1429,3
5.1822,91.6385,63.4026,3
4.9482,91.5978,63.2117,3
5.0430,91.8107,68.6986,3
5.0088,91.3362,68.4549,3
4.9944,91.6369,74.7875,3
4.8952,91.7056,74.2184,3
5.0196,92.2803,78.7583,3
5.0648,91.3393,78.7716,3
5.0498,91.8328,84.3701,3
5.2518,91.5505,84.0444,3
5.5408,91.6972,89.1139,3
4.8611,91.2961,89.9420,3
4.9271,91.6172,94.7051,3
5.1463,91.3249,94.1991,3
5.0449,91.7592,100.0000,3
4.8381,91.7822,99.6281,3
4.8957,95.5063,0.6506,3
5.1267,95.9710,0.6236,3
5.5625,95.2767,4.8940,3
4.8768,95.5342,4.7244,3
4.9401,95.4245,10.6938,3
5.0103,95.9338,10.7802,3
5.1206,95.6775,16.8500,3
5.0469,95.2307,15.2883,3
4.6519,95.7947,20.9917,3
4.9063,96.3928,21.3271,3
5.1452,95.5102,25.8162,2
5.0074,95.8414,25.3876,3
4.9639,95.7937,31.4714,2
4.8373,95.6276,31.4905,2
5.0182,95.9709,37.3825,2
4.9411,95.6526,37.0609,2
5.1222,95.6592,42.5005,2
5.1959,96.1770,42.9944,2
4.8267,95.7936,47.3741,3
4.9804,95.5947,46.6256,3
5.0185,95.5590,52.6746,3
4.8412,95.4596,52.7487,3
5.0302,95.9633,58.9877,3
5.0555,95.9350,57.3560,3
4.7426,96.2643,62.6962,3
4.7912,95.7777,63.1128,3
4.8195,95.6980,69.0357,3
4.8388,95.3714,68.8923,3
5.0985,95.6033,72.8931,3
4.8511,95.7731,74.2670,3
4.7927,95.7641,79.2849,3
4.5237,96.0996,78.3561,3
5.0664,95.8635,84.7528,3
5.1102,95.0763,83.8181,3
5.0276,95.7310,89.7125,3
5.1579,95.9720,89.3665,3
4.6307,95.6528,94.9450,3
4.7819,95.9789,95.1910,3
5.0254,94.8703,99.3610,3
5.3772,95.6255,99.0079,3
5.2470,100.0040,0.5525,3
5.0554,100.1376,0.1815,3
5.1395,100.6832,5.7487,3
4.6839,100.1340,5.8339,3
5.2405,99.8720,11.1088,3
5.1855,100.7718,10.1513,3
4.8985,99.9082,15.5444,3
4.8220,99.1712,15.5721,3
5.0739,99.8520,22.0203,3
5.0027,100.3873,21.1833,3
5.1653,100.0838,27.0002,2
5.0112,100.1488,26.4990,2
4.9423,100.1215,32.6961,2
4.9459,100.1258,32.2078,2
5.2281,100.0035,35.6504,2
5.1033,99.3342,37.5771,2
5.0339,100.2999,41.6542,2
4.6895,100.0782,42.0885,2
4.9017,100.0254,48.7521,3
5.1669,100.3148,47.7904,3
5.2959,99.9430,51.6042,3
4.9623,100.2435,52.1467,3
4.9647,99.7925,58.6458,3
5.1499,100.1955,58.2055,3
4.9926,100.0593,62.5653,3
4.5627,100.0450,63.3199,3
5.2419,100.4714,69.2061,3
4.8004,99.8943,68.6612,3
5.5064,100.4440,74.2439,3
4.9224,99.7350,74.0787,3
4.7799,99.9285,78.8900,3
5.3186,99.8936,77.7277,3
5.1009,99.7903,84.2318,3
4.9827,99.9179,84.6057,3
4.6934,99.8449,89.8157,3
4.8772,99.5174,89.8080,3
5.2246,99.9865,93.7564,3
5.1412,99.5020,94.8912,3
4.8225,99.6520,99.7790,3
4.9633,99.8067,100.0000,3
7.2792,20.2941,0.1406,3
7.2289,19.7402,0.0000,3
7.4266,19.8936,4.0771,3
7.2613,19.7297,6.0510,3
7.0279,19.5676,11.0813,3
7.6398,19.7765,10.2103,3
7.4917,19.3019,14.8589,3
7.3123,20.4650,15.5716,3
7.3886,20.3401,22.1061,3
7.2531,19.9949,21.9637,3
7.0640,20.3083,25.8066,2
7.3889,19.9272,25.8368,2
7.1718,20.0829,32.0767,2
7.3425,20.0210,31.8645,2
7.1741,20.2219,37.2518,2
7.8891,19.8872,36.6131,2
7.5222,20.2457,41.8377,2
7.2878,20.1623,41.6915,2
7.2863,20.0269,47.8664,3
7.2475,19.4473,46.4101,3
7.1165,19.6061,52.5543,3
